Product ID,Reviews,Questions,Total reviews
PID24,This product has no reviews.,9,1
PID25,"s***.
1 week ago
...
#11.11 Genuine seller, he sent exact same item as shown. Phone was seal packed and brand new. Loved the phone. Such a great buy in so affordable price🥺❤️ totally loved it.... highly recommended😍 Thank u daraz Thank u seller .... 5 stars from my side🌟🌟🌟🌟🌟
Storage Capacity:128GB, Color Family:Black
2
1
NAVEED A.
2 months ago
...
very nice set seller is very cooperative special thanks color is same as asked
Storage Capacity:128GB, Color Family:Blue
2
Mi S.
3 weeks ago
...
nyccc mobile delivery time very short jasa mobile dhka tha wasa he haa
Storage Capacity:128GB, Color Family:Blue
1
1
2
3
4
•••
17",45,49
PID26,"Samia R.
2 months ago
...
pehli br draz sy itni mehnghi cheez li ha. i was so scared. wo b advance payment py. ak tu is me headfone include nhi. wo msla company ka ha. dusra black color order kia ta. seller ny bina pochy yh bej dia. itna issue ni h at least ak br pochna chye na? i pay 41000 for it k market sy b zada h. wo b adjustable h. phone mujy bht psnd aya isk features. clr ghlt bejny ki wja giving 4 star.
Storage Capacity:128GB, Color Family:Black
15
3***8
2 months ago
...
Perfect Mobile reasonable price , Delivery with in 2days Seller was good Thankyou so much
Storage Capacity:128GB, Color Family:Wither Black
2
View P.
2 months ago
...
- Very good quality built - Good performance - Safely delivered - Good seller service
Seller Response
2 months ago
Thank you for trusting alhamdulilah trading khanewal,hope you will prefer us for next. Thank you once again for rating Jazak Allah
Color Family:Black, Storage Capacity:128GB
6
1
1
2
3
4
•••
8",33,22
PID27,"Muhammad A.
4 months ago
...
Aoa Jaisa bola waisa he mobile mila bohat khushi howi seller bi bohat cooperative ha jo color kaha wohi bheja thx seller market rate se kam pr mila zbrdst shabash
Storage Capacity:64GB, Color Family:White
9
1
3***6
3 months ago
...
Highly recommended beautiful Mobile thank you seller 😍
Storage Capacity:64GB, Color Family:Purple
6
Zain N.
3 weeks ago
...
Color was different than I order. I ordered purple but got black. The box of phone was already opened. Bad experience.
Storage Capacity:64GB, Color Family:Purple
1
2
3
4
•••
14",0,40
PID28,"Ahmad M.
4 months ago
...
Bht acha mobile h😍hm bht khush hain itna acha r discount py mobile khareda hmny ❤️thank you so much daraz and seller 💕😍seller is really very cooperative 😍Allah apko khush rkhy amen. ❤️Jo Jo chez mentioned h description mein. Wo sb delivered hoi h😍💙
Storage Capacity:128GB, Color Family:Mint
11
SHAHID A.
4 months ago
...
excellent mobile with brand name on this price with 2 years security warranty. 👍
Storage Capacity:128GB, Color Family:Mint
2
Muhammad A.
4 months ago
...
Best mobile in this price. Big screen he. Nicely raped by seller. Recommended for midrange persons.
Storage Capacity:128GB, Color Family:Mint
4
1
2
3
4
•••
25",101,73
PID29,No reviews,0,0
PID30,"Essa B.
3 months ago
...
EXCELLENT PACKING 👌& MOBILE ORIGINAL AS PER SELLER DESCRIBED. HIGHLY RECOMMENDED 👍. MOBILE IS SO CUTE & SLIM LIGHT WEIGHT. MOBILE WORKING GREAT & CHARGING FASTLY. MOBILE WITH ANDRIOD 13 VERSION & MOBILE SPEED FOR REGULAR USAGE BEST. HONEST & BEST SELLER WITH HUGE DISCOUNTS. ALL ACCESSORIES INCLUDED. DARAZ BEST.
Seller Response
3 months ago
Thank you So Much For Your Kind Words, We Look Forward to Working With You Again in Future Thank You So Much For Purchasing From Bin Saeed Communication Khanewal Take Care Allah Hafiz.
Storage Capacity:64GB, Color Family:Green
2
Asad U.
2 months ago
...
Good Mobile Genuine, Trusted Seller.. Thank You So Much.........
Seller Response
2 months ago
Thank you So Much For Your Kind Words, We Look Forward to Working With You Again in Future Thank You So Much For Purchasing From Bin Saeed Communication Khanewal Take Care Allah Hafiz.
Storage Capacity:64GB, Color Family:Black
2
Sajid A.
2 months ago
...
Same received as shown. Thanks a lot of seller and daraz also. 👍❤️👍
Seller Response
2 months ago
Thank you So Much For Your Kind Words, We Look Forward to Working With You Again in Future Thank You So Much For Purchasing From Bin Saeed Communication Khanewal Take Care Allah Hafiz.
Storage Capacity:64GB, Color Family:Green
5
1
2
3
4
5
6
7",5,21
PID31,"Guest G.
2 hours ago
...
Product is original. Charger, Cable, Protector & cover was also present in box. Only system of warranty is unclear. Delivery was very late.
Storage Capacity:64GB, Color Family:Black
**********84
3 weeks ago
...
very nice PTA prove nice bht bht Khushi hoi mobile dykh kr thanks draz
Seller Response
2 weeks ago
Thank you So Much For Your Kind Words, We Look Forward to Working With You Again in Future Thank You So Much For Purchasing From Bin Saeed Communication Khanewal Take Care Allah Hafiz.
Storage Capacity:64GB, Color Family:Green
12
S***.
4 weeks ago
...
We get it fast delivery and good item with warranty
Seller Response
4 weeks ago
Thank you So Much For Your Kind Words, We Look Forward to Working With You Again in Future Thank You So Much For Purchasing From Bin Saeed Communication Khanewal Take Care Allah Hafiz.
Storage Capacity:64GB, Color Family:Black
1
1
2
3
4
5
6",10,16
PID32,No reviews,16,0
PID33,"Muhammad F.
2 months ago
...
Nice one receive same as pic and good packing nice seller service and PTA approve device very nice..❤❤❤
Storage Capacity:64GB, Color Family:Green
13
1
Muhammad F.
1 month ago
...
very nice good 👍👍👍
Storage Capacity:64GB, Color Family:Green
2
Bilal A.
3 weeks ago
...
Very Nice and cooperative Seller. My Parcel received in 24 hours. Delivery Service is very Good. Overall Mobile packing is very Good.
Storage Capacity:64GB, Color Family:Black
2
1
2
3
4
5
6
7",48,21
PID34,No reviews,0,0
PID35,"Moazzam
5 days ago
...
100 percent original product. The seller shipped fast but the daraz delivery service was very poor because of the #11.11 sale. received 3 days late after delivery timeline.
Storage Capacity:256GB, Color Family:Blue
1
Mati M.
1 month ago
...
Genuine & Authentic product. Seller is highly recommended & professional who responds to all my queries on time.
Storage Capacity:256GB, Color Family:Black
7
Syed I.
3 weeks ago
...
Orginal Mobile recommended to all
Storage Capacity:256GB, Color Family:Blue
1
1
2",41,6
PID36,"Inam K.
1 month ago
...
Amazing phone in that price, highly recommend
Seller Response
1 month ago
thank you so much for your precious order review and rating us keep shopping on daraz ❤️
Storage Capacity:128GB, Color Family:Black
1
1",49,1
PID37,"Aqib A.
8 hours ago
...
Very good and nice mobile
Storage Capacity:16GB, Color Family:Multicolor
1",2,1
PID38,"Ghazia R.
11 hours ago
...
Amazing, delivered on time and quality is amazing
Seller Response
7 hours ago
Thank you So Much For Your Kind Words, We Look Forward to Working With You Again in Future Thank You So Much For Purchasing From Bin Saeed Communication Khanewal Take Care Allah Hafiz.
Storage Capacity:128GB, Color Family:Purple
1",0,1
PID39,"Muhammad I.
3 months ago
...
seller is very cooperative and well manner. I will recommend. I have received techno spark 10 pro same as I ordered. I will give him five star because I requested him to deliver the mobile as soon as possible and he did the same I have received my parcel in 2 days only . I loved to buy again from him. thanks
Seller Response
3 months ago
Thank You Soooo Much For Your Kind Words ,We Look Forward to Working With You Again In Future Thank You Soo Much For Purchasing From Ali Communication Khanewal Take Care Allah Hafiz
Storage Capacity:128GB, Color Family:Black
18
4
Hina F.
2 months ago
...
Today I received my ordar 1st ko ordar kiya tha. 3 days mai recive hogya jaisa dekha tha waisa ge aya color ja issue tha tu seller nai contact kiya I appreciated hus effort set sach m bht acha hy
Seller Response
2 months ago
Thank You Soooo Much For Your Kind Words ,We Look Forward to Working With You Again In Future Thank You Soo Much For Purchasing From Ali Communication Khanewal Take Care Allah Hafiz
Storage Capacity:128GB, Color Family:Black
8
sidra K.
1 month ago
...
Masha allah bht acha mobile Hy. delivery bht jaldi hogai Hy. .... thank you so much
Seller Response
4 weeks ago
Thank You Soooo Much For Your Kind Words ,We Look Forward to Working With You Again In Future Thank You Soo Much For Purchasing From Ali Communication Khanewal Take Care Allah Hafiz
Storage Capacity:128GB, Color Family:Ash White
4
1
2
3
4
•••
11",0,33
PID40,"M***.
3 days ago
...
received the parcel in appropriate condition. price is good seller was coperative. color size and sleakness of the mobile is kamaal. i hope it would work fine.
Color Family:Charcoal, Storage Capacity:64GB
Jehangir K.
3 months ago
...
received well packed in perfect condition, overall very happy with my purchase and will be buying again
Storage Capacity:64GB, Color Family:Charcoal
7
Shazia R.
2 months ago
...
The mobile blacked out after 4 days. It is a fake product. The seller is not solving the problem. Don’t buy this is a big scam. The seller is very dishonest. It is Draz mall approved product and even the Mart is not copererating and taking any responsibility
Storage Capacity:64GB, Color Family:Charcoal
9
1
2
3
4
5
6",28,16
PID41,"Raeessagar
3 months ago
...
mashallah bohat pyara mobile phone hai charj 5.0 zabadat hai
Seller Response
3 months ago
Thank you So Much For Your Kind Words, We Look Forward to Working With You Again in Future Thank You So Much For Purchasing From Bin Saeed Communication Khanewal Take Care Allah Hafiz.
Storage Capacity:128GB, Color Family:Green
19
Maniha A.
2 months ago
...
very amazing product 👏😄
Seller Response
2 months ago
Thank you So Much For Your Kind Words, We Look Forward to Working With You Again in Future Thank You So Much For Purchasing From Bin Saeed Communication Khanewal Take Care Allah Hafiz.
Storage Capacity:128GB, Color Family:Black
16
1
aziz A.
2 months ago
...
Seller Response
2 months ago
Thank you So Much For Your Kind Words, We Look Forward to Working With You Again in Future Thank You So Much For Purchasing From Bin Saeed Communication Khanewal Take Care Allah Hafiz.
Storage Capacity:128GB, Color Family:Blue
8
1
2
3
4",6,12
